salary,salary_,age,education level,field,position,years of full time job,years of learn programe,[ASP .net],[Assembly],[Bash/Shell/PowerShell],[C],[C#],[C++],[Clojure],[Dart],[Elixir],[Erlang],[Go],[Groovy],[Haskell],[HTML/CSS],[Java],[JavaScript],[Julia],[Kotlin],[Lua],[Objective-C],[Ocaml],[Pascal],[Perl],[PHP],[Python],[R],[Ruby],[Rust],[Scala],[SQL]
1.5,15000,23,6,5,Back-end developer,1,1.5,0,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1.5,15000,23,6,5,QA or Test developer,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,Front-end developer,0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1.5,15000,16,3,1,Academic researcher,1,0.5,0,0,0,1,1,1,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1.5,15000,19,6,1,Academic researcher,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1.5,15000,16,3,1,Academic researcher,0,0.5,0,0,1,3,1,3,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,3,0,0,0,0,1
1.5,15000,19,6,1,Educator / Instructor,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,19,5,2,Data or Business Database & Analyst,0,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,3,Manager,1.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,23,6,4,IT support,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,28,6,4,IT support,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,28,5,4,IT support,3.5,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.5,15000,16,3,4,IT support,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,19,5,4,IT support,1.5,8.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,4,IT support,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
1.5,15000,19,4,4,IT support,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,23,6,5,Front-end developer,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,23,6,5,Front-end developer,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.5,15000,23,6,5,Back-end developer,1,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,23,6,5,Mobile developer,1,0.5,1,1,0,1,1,1,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,1
1.5,15000,23,6,5,Front-end developer,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.5,15000,19,2,5,Freelance,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,19,5,5,Freelance,0,1,1,1,1,3,3,3,1,0,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1
1.5,15000,23,6,5,Freelance,1,1,0,1,1,3,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,23,6,5,Freelance,0,4,0,1,1,3,3,3,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1.5,15000,23,5,5,Freelance,1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,16,2,5,freelance,1.5,1.5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,6,5,Software Engineer,0,8.5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.5,15000,19,6,6,UI designer,0,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,23,6,1,Educator / Instructor,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,23,5,4,IT support,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,19,3,6,Designer,1.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,3,6,Designer,1,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,6,Web Developer,1,1.5,0,0,1,3,3,3,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,23,6,1,Educator / Instructor,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,19,6,3,Engineering manager,0,2,0,3,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1.5,15000,19,6,5,Full-stack developer,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,28,6,5,Back-end developer,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,Software developer,1.5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,Full-stack developer,1.5,0.5,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,2,1,0,0,0,0,1
1.5,15000,33,6,6,Web Developer,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,3
1.5,15000,28,6,1,Academic researcher,1.5,1,0,1,0,1,1,1,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1.5,15000,23,6,1,Educator / Instructor,1.5,1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1.5,15000,45.5,6,1,Educator / Instructor,3.5,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,28,6,1,Educator / Instructor,3.5,6,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1.5,15000,23,6,1,Educator / Instructor,0,4,1,1,0,1,1,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,1
1.5,15000,19,6,1,Educator / Instructor,3.5,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,23,6,1,Educator / Instructor,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,1,Educator / Instructor,0,0.5,0,0,0,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
1.5,15000,28,6,3,Product Owner,1.5,23,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.5,15000,28,6,4,IT support,1.5,0.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,23,6,5,Back-end developer,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,0,0,0,1,1,0,0,0,0,3
1.5,15000,19,3,5,Full-stack developer,0,8.5,0,0,1,3,1,3,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,1
1.5,15000,23,6,2,Data scientist or Machine learning specialist,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1.5,15000,33,6,6,Web Developer,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,23,6,6,Designer,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,16,2,6,Designer,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,19,5,1,Freelance,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.5,15000,16,2,1,Academic researcher,1,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
1.5,15000,19,3,1,Academic researcher,1,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,6,3,Engineering manager,0,5,0,1,0,3,3,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.5,15000,23,6,3,Engineering manager,3.5,0.5,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,Embedded applications or devices developer,1,30,0,3,3,3,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1.5,15000,45.5,6,5,Embedded applications or devices developer,1,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,19,3,6,Designer,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,19,6,6,freelance,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,23,6,2,Data Engineer,1.5,1.5,0,0,3,1,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,23,6,3,Engineering manager,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,38,6,1,Educator / Instructor,0,1.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,4,IT support,1,3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,Back-end developer,1,0.5,1,0,1,0,3,1,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,23,8,6,Freelance,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.5,15000,33,6,1,Academic researcher,0,3.5,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1.5,15000,19,3,1,Academic researcher,0,2,3,1,1,1,3,1,1,2,3,3,1,1,1,1,3,1,3,1,3,3,3,3,1,3,3,3,1,3,3,1
1.5,15000,19,6,1,Academic researcher,0,7,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,3,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,23,6,1,Academic researcher,1,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,5,1,Academic researcher,1,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,16,2,1,Academic researcher,0,3.5,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,6,1,Educator / Instructor,1,0.5,0,1,1,1,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,3,3,0,0,0,0,3
1.5,15000,19,6,1,Educator / Instructor,1,0.5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,5,1,Educator / Instructor,0,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,19,2,1,Educator / Instructor,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,19,6,1,Educator / Instructor,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.5,15000,19,6,1,Educator / Instructor,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,1,Educator / Instructor,0,1.5,0,1,0,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1.5,15000,16,4,2,Data or Business Database & Analyst,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,16,3,2,Data engineer,0,3.5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,16,3,3,Ceo,1,0.5,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,16,2,3,CEO,0,0.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1.5,15000,45.5,2,3,CEO,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1.5,15000,16,2,3,CEO,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,28,5,4,IT Support,8.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.5,15000,23,6,4,IT support,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,3
1.5,15000,23,6,4,IT support,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,1,0,0,0,0,1
1.5,15000,23,6,4,IT support,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1.5,15000,23,6,4,IT support,1,0.5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,19,3,4,IT support,3.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,28,7,4,IT support,1.5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,19,6,4,IT support,0,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,23,6,4,IT support,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1.5,15000,23,6,4,IT support,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1.5,15000,23,3,4,admin support,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,28,6,5,Game or graphics developer,0,8,0,1,0,1,3,3,0,0,0,0,1,0,0,3,3,3,0,0,0,0,0,0,1,3,3,3,0,0,0,3
1.5,15000,23,6,5,Full-stack developer,0,13,0,1,1,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,1,0,0,0,0,1
1.5,15000,23,6,5,Full-stack developer,1,0.5,0,1,1,1,1,3,1,1,1,1,1,0,1,3,3,3,1,1,1,1,1,3,1,3,1,1,1,1,1,3
1.5,15000,19,6,5,Game or graphics developer,1.5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.5,15000,23,6,5,Back-end developer,0,0.5,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,3,1,1,0,0,1
1.5,15000,23,6,5,Full-stack developer,1.5,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3
1.5,15000,33,6,5,Back-end developer,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1.5,15000,16,2,5,Game or graphics developer,0,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,23,3,5,DevOps specialist,1,0.5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0
1.5,15000,23,6,5,Full-stack developer,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,23,6,5,Full-stack developer,1.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,3
1.5,15000,19,5,5,Back-end developer,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,Game or Graphics developer,1,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,16,2,5,Game or Graphics developer,1.5,5.5,0,1,1,1,1,1,3,1,1,0,3,0,1,1,3,3,1,1,1,1,1,1,3,3,3,1,1,1,3,3
1.5,15000,19,6,5,Full-stack developer,1,0.5,0,0,3,1,0,0,0,1,0,0,0,0,1,3,3,3,0,3,0,0,0,0,0,1,3,0,1,0,0,1
1.5,15000,19,6,5,Software developer,1,5,0,1,1,1,0,1,0,0,0,0,3,0,0,1,3,1,0,1,0,0,0,0,0,1,1,0,1,0,0,3
1.5,15000,19,6,5,Full-stack developer,0,6,0,0,0,1,3,1,0,0,0,0,0,0,0,3,1,3,0,1,0,0,0,0,0,3,1,0,1,0,0,1
1.5,15000,23,3,5,Full-stack developer,3.5,1.5,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,3,5,Game or Graphics developer,0,0.5,3,1,3,3,1,1,3,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,23,6,5,Front-end developer,0,5.5,1,0,3,3,3,3,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,3,1,0,0,0,0,3
1.5,15000,16,2,5,Game or Graphics developer,0,8.5,3,3,3,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,5,5,Full-stack developer,1.5,3,1,0,0,1,1,1,0,0,0,0,1,0,0,3,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3
1.5,15000,28,6,5,freelance,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1.5,15000,23,6,5,freelance,0,8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.5,15000,33,3,5,Freelance,1,0.5,0,1,1,1,1,1,0,1,0,0,3,0,3,0,3,3,0,3,0,0,0,1,0,1,3,1,3,0,0,3
1.5,15000,38,4,5,freelance,1.5,5,0,3,1,3,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,1,3,0,0,0,0,0
1.5,15000,33,3,5,Freelance,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,freelance,0,7,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1.5,15000,19,6,5,Freelance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,33,6,5,freelance,0,20,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,3,0,0,0,0,1
1.5,15000,19,3,5,Freelance,0,2,0,1,1,1,1,1,1,1,1,1,1,0,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,23,6,5,Freelance,1,0.5,0,1,1,1,1,1,1,1,1,1,1,0,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5,15000,19,6,5,freelance,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,23,6,5,freelance,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.5,15000,16,8,5,Freelance,1,0.5,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,8,5,Freelance,30,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,19,3,5,Freelance,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,15000,28,6,5,freelance,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
